treat_one,treat_zero,control_one,control_zero,
0,1307,1,1473,
0,1532,0,1219,
0,1473,1,1249,
0,1363,0,1385,
0,1272,8,1435,
0,1687,0,1163,
0,1818,2,1003,
0,1371,1,1403,
0,1432,1,1274,
0,1640,2,1248,
0,1344,2,1509,
1,1430,2,1366,
0,1378,6,1423,
0,1614,1,1210,
0,1105,0,1681,
0,1280,0,1524,
0,1408,3,1330,
0,1688,0,991,
0,1456,4,1323,
0,1444,3,1354,
1,1518,4,1251,
0,1075,2,1597,
0,1397,14,1343,
0,1202,10,1515,
0,1166,7,1682,
0,1642,4,1149,
0,1187,14,1565,
0,1476,2,1297,
2,1037,1,1659,
0,1533,4,1353,
0,1527,0,1223,
0,1284,0,1454,
0,1225,11,1554,
0,1714,0,1099,
0,1540,0,1229,
0,1572,2,1209,
0,1195,0,1513,
0,998,10,1719,
0,1329,0,1349,
0,1181,10,1727,
0,1244,6,1465,
0,1438,4,1403,
0,945,6,1734,
0,1598,2,1169,
0,1101,7,1643,
0,1741,0,1060,
0,1669,1,1137,
1,1708,1,1021,
0,1344,0,1474,
0,1826,0,962,
0,1115,6,1642,
0,1005,12,1670,
0,1096,0,1697,
0,1377,8,1521,
1,1223,12,1620,
0,1283,5,1485,
0,1476,16,1236,
0,1510,1,1345,
0,1024,6,1780,
0,1703,0,1018,
0,1379,18,1347,
0,1604,4,1181,
0,1547,4,1313,
0,1081,7,1725,
0,1163,9,1628,
0,1004,4,1802,
0,1404,3,1364,
1,1356,2,1423,
0,879,9,1904,
0,1682,10,1108,
0,1318,8,1353,
0,1428,2,1412,
0,1073,0,1668,
0,1765,0,877,
0,1774,0,1010,
0,944,5,1771,
0,1300,0,1449,
0,1103,1,1751,
0,1301,4,1410,
0,1530,1,1213,
0,1177,15,1536,
0,872,25,1841,
1,1205,1,1527,
0,1520,0,1254,
0,1654,2,1068,
0,1772,6,933,
0,1324,1,1413,
0,1549,0,1278,
0,1133,9,1607,
0,1207,0,1585,
1,1397,4,1345,
0,1433,8,1343,
0,1733,2,1095,
1,1421,3,1293,
1,1543,6,1097,
0,1135,2,1625,
0,1643,3,1163,
0,1477,0,1268,
0,1317,5,1435,
0,1442,8,1376,
0,1301,0,1498,
0,1317,0,1470,
0,1269,0,1582,
0,1421,1,1296,
0,1464,2,1222,
0,1596,3,1147,
0,1312,1,1446,
0,1452,1,1291,
0,1100,10,1589,
0,1288,6,1518,
0,1148,4,1612,
0,1135,6,1579,
0,1090,4,1563,
0,887,9,1921,
0,1055,8,1735,
0,1744,1,1016,
0,1277,0,1436,
0,1613,0,1204,
0,1548,0,1311,
0,1136,3,1631,
1,1685,4,1115,
0,1334,15,1510,
0,1584,1,1281,
0,1081,4,1686,
0,1259,2,1545,
0,1730,0,1143,
0,1250,4,1428,
1,1254,8,1365,
0,1466,4,1403,
0,1558,4,1226,
0,1523,1,1268,
0,1010,5,1738,
0,1534,5,1251,
0,1226,1,1517,
0,1006,16,1751,
0,1580,4,1216,
0,1331,0,1399,
0,1596,2,1157,
0,1210,0,1644,
0,1424,0,1229,
1,1429,9,1314,
0,1573,7,1243,
0,1147,7,1533,
0,1000,0,1840,
0,1209,13,1516,
0,1582,19,1173,
0,1234,2,1538,
0,1307,1,1407,
0,1490,0,1338,
0,1244,6,1493,
1,1401,5,1416,
0,1190,1,1593,
0,1260,2,1614,
0,1321,0,1438,
0,1239,1,1521,
0,1355,1,1433,
0,1650,2,1237,
0,1137,4,1637,
0,1135,13,1618,
0,1461,1,1280,
0,1468,2,1314,
0,1461,4,1326,
0,1161,10,1526,
0,1438,3,1385,
1,1362,12,1320,
1,1689,0,1030,
0,1426,8,1359,
0,1240,8,1496,
0,1496,2,1231,
0,1251,1,1546,
0,1469,5,1360,
0,1318,13,1435,
0,1475,10,1305,
0,1567,5,1202,
0,1114,8,1664,
0,1140,4,1559,
1,881,17,1840,
0,1392,1,1367,
0,1509,6,1284,
0,1660,17,1086,
0,1349,2,1322,
0,1456,4,1299,
0,1269,10,1444,
0,1420,1,1376,
0,1248,0,1630,
0,1654,0,1247,
0,1440,1,1342,
1,1620,3,1119,
0,1208,7,1555,
0,1612,8,1228,
0,1199,4,1622,
0,1664,1,1122,
0,1529,5,1235,
0,1462,0,1393,
0,919,0,1853,
0,1546,3,1177,
1,1489,3,1281,
0,1275,0,1409,
1,1698,12,1074,
0,1247,0,1499,
0,1271,1,1544,
0,1640,10,1072,
0,1338,2,1390,
0,1437,4,1325,
0,1374,5,1476,
1,1885,2,914,
0,1321,0,1533,
0,1466,0,1323,
0,1684,1,1113,
0,1510,3,1250,
0,1493,0,1271,
1,1446,7,1229,
0,1323,7,1436,
1,1366,1,1407,
0,1729,3,1093,
0,1462,7,1319,
0,1698,0,1111,
0,979,0,1690,
0,1172,0,1645,
1,1619,0,1085,
0,1474,0,1350,
0,1089,0,1616,
0,1650,6,1147,
0,1787,0,972,
0,1576,0,1138,
0,1228,2,1596,
0,1304,8,1500,
0,1161,2,1535,
1,1680,0,1074,
0,1389,1,1319,
0,1275,14,1494,
0,924,0,1780,
0,1940,1,827,
0,1290,0,1438,
0,980,8,1694,
0,955,3,1829,
0,1655,2,1098,
1,1382,15,1467,
0,1674,0,1083,
0,1133,0,1575,
0,1547,5,1244,
0,1588,0,1175,
1,1187,3,1539,
0,1516,0,1213,
0,1229,14,1592,
0,1312,1,1398,
0,1448,0,1335,
0,1318,9,1496,
0,1188,0,1558,
0,1007,10,1636,
0,1588,1,987,
1,1973,0,851,
0,1383,1,1434,
0,1187,3,1537,
0,1752,0,1038,
0,1238,1,1554,
0,1716,1,1185,
0,1459,0,1343,
1,1218,1,1514,
1,1528,9,1234,
0,1269,5,1435,
0,1436,1,1350,
0,1554,0,1122,
0,1418,5,1362,
1,1297,0,1513,
0,1338,0,1352,
0,1333,6,1377,
1,1739,1,999,
0,1348,13,1436,
0,1207,0,1538,
0,1412,3,1333,
1,1891,0,892,
0,1346,0,1391,
0,1163,2,1585,
0,1128,0,1726,
0,1295,0,1418,
0,1612,0,1075,
0,1578,5,1168,
0,1209,3,1574,
0,1163,0,1578,
0,1410,4,1382,
0,1448,10,1451,
0,1432,3,1354,
0,1296,8,1432,
0,1317,1,1478,
0,1071,2,1606,
0,1581,0,1229,
0,1077,4,1656,
0,1157,0,1494,
0,1342,7,1374,
0,1467,0,1246,
0,1527,5,1142,
0,1331,2,1389,
1,1037,4,1771,
0,1628,0,1135,
0,1283,11,1440,
0,1724,0,1041,
0,1386,15,1330,
0,1222,5,1576,
0,1115,0,1701,
0,1517,1,1236,
0,1232,0,1497,
0,1671,2,1174,
1,1540,0,1267,
0,1290,8,1491,
0,1320,1,1449,
0,1753,1,985,
0,1461,0,1347,
0,1545,0,1146,
0,1515,0,1329,
0,1675,0,1068,
2,1278,1,1572,
0,1345,5,1368,
0,1638,1,1088,
0,1333,0,1530,
0,1329,1,1466,
0,1544,5,1260,
0,1271,0,1446,
0,1436,2,1215,
0,1467,19,1279,
3,1084,0,1706,
0,1406,0,1410,
0,1587,6,1148,
0,1451,4,1300,
0,1385,6,1342,
0,1356,1,1476,
0,926,15,1816,
1,1606,2,1133,
0,1428,4,1295,
1,1525,0,1361,
0,1424,5,1266,
0,1547,7,1229,
0,1235,6,1530,
0,1756,0,1047,
0,1537,0,1226,
0,1294,2,1503,
0,1035,5,1702,
0,1299,0,1392,
0,1364,1,1447,
0,1335,4,1318,
1,1261,8,1498,
0,1098,4,1609,
0,1429,0,1442,
0,1334,1,1478,
0,1030,14,1697,
0,937,1,1896,
0,1473,3,1291,
3,1467,0,1276,
0,1584,2,1169,
0,1816,1,939,
0,1466,1,1335,
0,1258,0,1481,
0,1886,3,806,
0,1748,0,1056,
1,1431,0,1343,
0,1382,0,1398,
1,1145,0,1559,
1,1201,0,1462,
0,946,4,1859,
2,1691,4,1051,
0,1640,13,1061,
0,1134,0,1625,
0,1469,2,1182,
0,1255,2,1564,
0,1551,2,1192,
0,1540,1,1242,
0,1386,0,1413,
0,1155,7,1680,
0,1448,1,1335,
0,1669,2,1161,
0,1438,2,1455,
0,1064,1,1732,
0,1450,5,1266,
0,1181,5,1582,
0,1060,0,1643,
0,1397,1,1406,
0,1162,0,1642,
0,988,0,1793,
0,1642,2,1107,
0,1574,13,1117,
0,1315,0,1518,
0,1336,4,1472,
0,1242,3,1417,
1,1580,4,1181,
0,1248,1,1419,
0,1622,1,1118,
0,1487,6,1215,
0,1204,15,1606,
1,1615,9,1026,
0,1385,3,1378,
0,1347,2,1399,
0,969,2,1694,
0,1442,0,1228,
0,1436,13,1311,
0,1070,7,1771,
0,1344,1,1356,
0,1379,0,1372,
0,1385,1,1307,
0,1779,5,970,
0,1477,21,1211,
0,1504,6,1222,
0,1143,14,1632,
0,1381,0,1412,
0,1604,3,1152,
0,746,0,2007,
0,1550,0,1161,
0,1525,6,1235,
0,1593,6,1162,
0,1622,3,1179,
0,1280,1,1499,
0,1222,2,1564,
0,1657,4,1099,
0,1450,1,1287,
0,1481,2,1377,
0,1471,0,1221,
0,1321,2,1473,
0,1297,6,1458,
0,930,19,1780,
1,1485,1,1265,
0,1266,4,1464,
0,1551,0,1298,
0,1031,8,1734,
0,1388,7,1308,
0,1416,0,1384,
0,1165,0,1604,
0,1339,10,1355,
0,1109,6,1690,
0,1531,1,1219,
0,1886,5,890,
0,980,20,1783,
0,1714,16,1068,
0,1343,5,1415,
0,1163,2,1562,
0,1733,13,1160,
0,1624,5,1196,
0,1446,22,1242,
0,1079,10,1605,
0,1506,3,1250,
0,1392,3,1308,
0,1089,9,1671,
1,1778,9,1027,
0,1784,17,1007,
0,1200,7,1554,
2,1625,9,1199,
0,1298,5,1469,
0,1594,2,1242,
0,1407,13,1330,
0,1633,2,1244,
0,1228,5,1450,
0,1351,0,1378,
0,1497,6,1242,
0,1710,0,1128,
0,1149,12,1550,
0,1421,0,1373,
0,1370,0,1377,
0,1396,8,1428,
0,1394,0,1365,
0,1645,0,1156,
2,1357,6,1395,
0,1435,4,1342,
0,1282,9,1463,
0,1506,1,1330,
0,968,1,1830,
0,1330,4,1470,
0,1479,0,1307,
0,993,6,1749,
0,1494,3,1288,
0,1261,0,1565,
0,1314,2,1524,
0,1241,4,1504,
0,1120,3,1670,
0,1288,8,1508,
0,1473,0,1224,
0,1232,14,1605,
0,1467,3,1346,
0,1374,6,1429,
0,697,1,2099,
0,952,5,1771,
0,1239,2,1513,
0,1212,12,1567,
0,1329,0,1407,
1,1338,2,1411,
0,1307,0,1493,
0,993,10,1746,
0,1369,0,1374,
0,1138,0,1662,
0,1334,2,1399,
0,1283,8,1516,
0,1086,2,1721,
1,1807,0,912,
1,1650,3,1084,
0,1522,0,1178,
0,1255,12,1504,
0,1578,4,1199,
0,1498,8,1311,
0,1237,7,1491,
0,1437,0,1363,
0,950,3,1811,
0,1350,4,1350,
0,1128,3,1696,
